순위,관광지명,광역시,시/군/구,lat,lng,area_cd,are_nm,distance_to_center_km,중분류 카테고리,소분류 카테고리,검색건수,실내/실외 구분,추천 연령대,K-Beauty_추천_페르소나
1778,이화동벽화마을,서울특별시,종로구,37.577975732883786,127.00710150317953,POI054,혜화역,0.641,기타관광,기타관광,789,혼합,전연령,공통(전체)
1779,법제교육센터,서울특별시,서초구,37.4733814913215,127.045662954139,POI041,양재역,1.606,체험관광,체험관광기타,789,실내,3040세대,대만
1780,서울형키즈카페양천구목4동점,서울특별시,양천구,37.5389699541032,126.865489154255,POI125,안양천,1.937,문화관광,테마공원,788,실내,3040세대,미국
1781,중랑천환경센터,서울특별시,노원구,37.6430023560516,127.056018511717,POI070,쌍문역,1.979,체험관광,체험관광기타,786,실내,3040세대,대만
1782,문이공원,서울특별시,송파구,37.4844465264454,127.114038522956,POI058,가락시장,1.085,문화관광,도시공원,786,실외,3040세대,대만
1783,서울형키즈카페양천구신정7동점,서울특별시,양천구,37.5098279624464,126.870331435676,POI020,구로역,1.279,문화관광,테마공원,785,실내,3040세대,미국
1784,도림유수지,서울특별시,영등포구,37.5041228195398,126.894822015355,POI038,신도림역,0.616,문화관광,도시공원,784,실외,전연령,대만
1785,성내천물놀이장,서울특별시,송파구,37.50055749760109,127.13995619600034,POI058,가락시장,2.666,문화관광,테마공원,781,혼합,3040세대,미국
1786,북한산국립공원구기탐방지원센터,서울특별시,종로구,37.61614926025498,126.9617729631778,POI043,연신내역,3.598,기타관광,기타관광,781,실내,3040세대,대만
1787,빅토리스포츠아카데미,서울특별시,영등포구,37.51763033580071,126.8838828252926,POI125,안양천,1.08,레저스포츠,기타레저스포츠,781,혼합,전연령,공통(전체)
1788,국립한국문학관건축중(2027년 개관예정),서울특별시,은평구,37.63329349152351,126.93712332462673,POI043,연신내역,2.108,문화관광,전시시설,780,실내,3040세대,"중국, 일본, 미국"
1789,광진교8번가,서울특별시,강동구,37.54449916415587,127.11418651384618,POI087,광나루한강공원,0.366,문화관광,랜드마크관광,778,혼합,전연령,공통(전체)
1790,지방공기업평가원교육장,서울특별시,서초구,37.4913849064387,127.009172776328,POI018,교대역,0.441,체험관광,체험관광기타,777,혼합,3040세대,대만
1791,엠플라자,서울특별시,중구,37.5626031328125,126.985168344766,POI003,명동 관광특구,0.007,쇼핑,쇼핑몰,777,실내,3040세대,"중국, 일본, 미국, 홍콩"
1792,롯데시네마수락산,서울특별시,노원구,37.67654606282718,127.05567417782986,POI070,쌍문역,3.622,문화관광,공연시설,777,실내,전연령,"중국, 홍콩"
1793,서울스쿼시가산점,서울특별시,금천구,37.473886215328456,126.88545749295258,POI013,가산디지털단지역,0.765,레저스포츠,기타레저스포츠,775,혼합,전연령,공통(전체)
1794,서남물재생센터파크골프장,서울특별시,강서구,37.5733975119418,126.824652470109,POI032,서울식물원·마곡나루역,0.815,레저스포츠,육상레저스포츠,774,실내,전연령,"미국, 홍콩"
