순위,상품명,카테고리 이름,브랜드 이름,가격,할인 가격,image_url,oliveyoung_best_combined_0317 (1),oliveyoung_best_combined_0318,oliveyoung_best_combined_0321,oliveyoung_best_combined_0325,oliveyoung_best_combined_0328,goods_no,
73,아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,클렌징,아누아,40000.0,24900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020555530ko.png?l=ko,1.0,47.0,23.0,32.0,61.0,A000000205555,
74,[1+1] 토리든 패드 다이브인/밸런스풀 리필기획 2종 택 1(수분/진정),마스크팩,토리든,38000.0,25270.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021281714ko.jpg?l=ko,25.0,25.0,40.0,41.0,40.0,A000000212817,
75,[단독기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블 기획,스킨케어,아누아,57500.0,29900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024777005ko.png?l=ko,7.0,4.0,8.0,55.0,94.0,A000000247770,
76,[모공/탄력/온열소금팩] 토르홉 사우난지앙 솔트 마스크 90g 기획 (+무민 스트레스볼 3종 중 랜덤 1종),마스크팩,토르홉,31500.0,25800.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024590119ko.png?l=ko,48.0,41.0,24.0,30.0,32.0,A000000245901,
77,[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,스킨케어,아누아,64000.0,27500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022620115ko.png?l=ko,21.0,20.0,101.0,31.0,2.0,A000000226201,
78,[2600만개 판매] 유세린 하이알루론 3X 나이트크림 50ml 기획 (+나이트크림7ml*2),스킨케어,유세린,68000.0,35900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024820003ko.jpg?l=ko,44.0,41.0,42.0,28.0,21.0,A000000248200,
79,에스트라 아토베리어365 세라-히알 속수분 앰플 30ml+30ml 리필 기획,더모 코스메틱,에스트라,47500.0,47500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024509112ko.jpg?l=ko,15.0,12.0,19.0,76.0,52.0,A000000245091,
80,바이오더마 아토덤 립스틱 4g 더블 기획,더모 코스메틱,바이오더마,20000.0,13600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024546702ko.jpg?l=ko,27.0,28.0,22.0,46.0,59.0,A000000245467,
81,[망곰 콜라보] 바닐라코 클린잇제로 포어클래리파잉 클렌징밤 100ml (+3ml*3ea+망곰 티코스터),클렌징,바닐라코,20000.0,15600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020267831ko.jpg?l=ko,65.0,49.0,17.0,25.0,23.0,A000000202678,
82,[리필기획] 메이크프렘 세이프 미 릴리프 모이스처 클렌징밀크 기획 (200ml+100ml 리필),클렌징,메이크프렘,28000.0,21000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015851329ko.jpg?l=ko,50.0,56.0,63.0,6.0,7.0,A000000158513,
83,[단독기획/1+1/쌀뜨물뽀용광] 에스네이처 아쿠아 라이스 약산성 클렌징폼 160ml 더블기획,클렌징,에스네이처,29000.0,24900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024810001ko.jpg?l=ko,40.0,43.0,24.0,35.0,38.0,A000000248100,
